city,country,coastline,highest,EU,latitude,longitude,temperature
Aalborg,Denmark,yes,171,yes,57.03,9.92,7.52
Aberdeen,United Kingdom,yes,1344,yes,57.17,-2.08,8.1
Abisko,Sweden,yes,2104,yes,63.35,18.83,0.2
Adana,Turkey,yes,5137,no,36.99,35.32,18.67
Albacete,Spain,yes,3479,yes,39,-1.87,12.62
Algeciras,Spain,yes,3479,yes,36.13,-5.47,17.38
Amiens,France,yes,4810,yes,49.9,2.3,10.17
Amsterdam,Netherlands,yes,321,yes,52.35,4.92,8.93
Ancona,Italy,yes,4810,yes,43.6,13.5,13.52
Andorra,Andorra,no,2942,no,42.5,1.52,9.6
Angers,France,yes,4810,yes,47.48,-0.53,10.98
Ankara,Turkey,yes,5137,no,39.93,32.86,9.86
Antalya,Turkey,yes,5137,no,36.89,30.7,11.88
Arad,Romania,yes,2544,yes,46.17,21.32,9.32
Athens,Greece,yes,2919,yes,37.98,23.73,17.41
Augsburg,Germany,yes,2962,yes,48.35,10.9,4.54
Bacau,Romania,yes,2544,yes,46.58,26.92,7.51
Badajoz,Spain,yes,3479,yes,38.88,-6.97,15.61
Baia Mare,Romania,yes,2544,yes,47.66,23.58,8.87
Balti,Moldova,no,430,no,47.76,27.91,8.23
Barcelona,Spain,yes,3479,yes,41.38,2.18,15.78
Bari,Italy,yes,4810,yes,41.11,16.87,15.15
Basel,Switzerland,no,4634,no,47.58,7.59,6.68
Batman,Turkey,yes,5137,no,37.89,41.14,14.16
Belfast,United Kingdom,yes,1344,yes,54.6,-5.96,8.48
Belgrade,Serbia,no,2169,no,44.82,20.47,9.85
Bergamo,Italy,yes,4810,yes,45.7,9.67,9.12
Bergen,Norway,yes,2469,no,60.39,5.32,1.75
Berlin,Germany,yes,2962,yes,52.52,13.4,8.72
Bialystok,Poland,yes,2499,yes,53.15,23.17,6.07
Bielefeld,Germany,yes,2962,yes,52.03,8.53,8.78
Bila Tserkva,Ukraine,yes,2061,no,49.77,30.13,6.98
Bilbao,Spain,yes,3479,yes,43.25,-2.93,11.41
Birmingham,United Kingdom,yes,1344,yes,52.47,-1.92,8.81
Blackpool,United Kingdom,yes,1344,yes,53.83,-3.05,9.15
Bodo,Norway,yes,2469,no,67.25,14.4,4.5
Bologna,Italy,yes,4810,yes,44.5,11.34,11.69
Bonn,Germany,yes,2962,yes,50.72,7.08,8.63
Bordeaux,France,yes,4810,yes,44.85,-0.6,11.87
Botosani,Romania,yes,2544,yes,47.75,26.66,8.23
Bournemouth,United Kingdom,yes,1344,yes,50.73,-1.9,9.97
Bradford,United Kingdom,yes,1344,yes,53.8,-1.75,8.39
Braga,Portugal,yes,1993,yes,41.55,-8.42,13.42
Braila,Romania,yes,2544,yes,45.29,27.97,9.78
Bratislava,Slovakia,no,2655,yes,48.15,17.12,9.65
Bremen,Germany,yes,2962,yes,53.08,8.8,8.14
Brest,Belarus,no,345,no,52.1,23.7,6.73
Brest,France,yes,4810,yes,48.39,-4.5,11.02
Brno,Czech Republic,no,1603,yes,49.2,16.61,7.86
Brugge,Belgium,yes,694,yes,51.22,3.23,9.65
Bucharest,Romania,yes,2544,yes,44.43,26.1,10.59
Budapest,Hungary,no,1014,yes,47.5,19.08,9.55
Burgas,Bulgaria,yes,2925,yes,42.51,27.47,11.93
Burgos,Spain,yes,3479,yes,42.35,-3.68,10.45
Bursa,Turkey,yes,5137,no,40.2,29.07,11.16
